source_file,dataset,model,strategy,time_seconds,vram_peak_gb,cpu_ram_delta_gb,cached
beemo_performance.csv,beemo,llada_8b_base,score,1527.218193769455,0.0,0.511932373046875,False
beemo_performance.csv,beemo,llada_8b_base,pawn,15414.931779384611,0.0,0.037445068359375,False
beemo_performance.csv,beemo,llada_8b_base,embedding,1543.4860639572144,0.0,0.134063720703125,False
beemo_performance.csv,beemo,llada_8b_base,zero_shot,1589.8698048591614,0.0,0.0,False
beemo_performance.csv,beemo,gpt2,score,128.02053260803223,6.661179542541504,0.0127601623535156,False
beemo_performance.csv,beemo,gpt2,pawn,133.45386242866516,3.4703989028930664,0.0008277893066406,False
beemo_performance.csv,beemo,gpt2,embedding,127.12683582305908,3.004387855529785,0.00323486328125,False
beemo_performance.csv,beemo,gpt2,zero_shot,127.56197810173036,3.0040769577026367,-0.0317649841308593,False
beemo_performance.csv,beemo,llama2_7b,score,598.003137588501,0.0,0.0139846801757812,False
beemo_performance.csv,beemo,llama2_7b,pawn,605.7530176639557,0.0,0.0003776550292968,False
beemo_performance.csv,beemo,llama2_7b,embedding,603.2370283603668,0.0,0.0031623840332031,False
beemo_performance.csv,beemo,llama2_7b,zero_shot,612.047180891037,0.0,-0.1067848205566406,False
beemo_performance.csv,beemo,llama3_1_8b,score,603.1734960079193,0.0,0.0001335144042968,False
beemo_performance.csv,beemo,llama3_1_8b,pawn,603.9489533901215,0.0,0.0,False
beemo_performance.csv,beemo,llama3_1_8b,embedding,594.4330234527588,0.0,3.814697265625e-06,False
beemo_performance.csv,beemo,llama3_1_8b,zero_shot,618.7354547977448,0.0,-0.1067848205566406,False
beemo_performance.csv,beemo,gpt3_proxy,score,242.51613759994507,0.0,0.0017433166503906,False
beemo_performance.csv,beemo,gpt3_proxy,pawn,244.0546758174896,0.0,4.1961669921875e-05,False
beemo_performance.csv,beemo,gpt3_proxy,embedding,242.14524674415588,0.0,0.041717529296875,False
beemo_performance.csv,beemo,gpt3_proxy,zero_shot,251.67577934265137,0.0,0.0,False
beemo_performance.csv,beemo,bert,score,28.10511016845703,5.659051418304443,0.0008277893066406,False
beemo_performance.csv,beemo,bert,pawn,29.37396478652954,6.199824810028076,4.9591064453125e-05,False
beemo_performance.csv,beemo,bert,embedding,26.12132978439331,5.659051418304443,2.6702880859375e-05,False
beemo_performance.csv,beemo,bert,zero_shot,22.63325929641724,5.660639762878418,7.62939453125e-06,False
beemo_performance.csv,beemo,roberta,score,29.342132091522217,5.825494289398193,0.0007667541503906,False
beemo_performance.csv,beemo,roberta,pawn,32.630040407180786,6.794645309448242,0.0,False
beemo_performance.csv,beemo,roberta,embedding,28.40973782539368,5.825494289398193,0.0001983642578125,False
beemo_performance.csv,beemo,roberta,zero_shot,24.545965671539307,5.8258161544799805,0.0,False
beemo_performance.csv,beemo,modernbert,score,62.076539516448975,5.988430023193359,0.018157958984375,False
beemo_performance.csv,beemo,modernbert,pawn,55.54532122612,6.901144981384277,0.0004348754882812,False
beemo_performance.csv,beemo,modernbert,embedding,51.10408878326416,5.988430023193359,0.0014114379882812,False
beemo_performance.csv,beemo,modernbert,zero_shot,41.83521819114685,5.985323429107666,3.814697265625e-06,False
deepfaketextdetect_performance.csv,deepfaketextdetect,llada_8b_base,score,4295.096617937088,0.0,0.0941658020019531,False
deepfaketextdetect_performance.csv,deepfaketextdetect,llada_8b_base,pawn,43214.51690196991,0.0,-0.1951141357421875,False
