dataset,model,strategy,time_seconds,vram_peak_gb,cpu_ram_delta_gb,cached
m4gt_bench,llada_8b_base,score,4701.86577296257,0.0,0.4501800537109375,False
m4gt_bench,llada_8b_base,pawn,46766.010426044464,0.0,0.060146331787109375,False
m4gt_bench,llada_8b_base,embedding,4488.500181913376,0.0,0.2703208923339844,False
m4gt_bench,llada_8b_base,zero_shot,4539.325780391693,0.0,3.814697265625e-06,False
m4gt_bench,gpt2,score,401.39603757858276,6.662738800048828,0.005126953125,False
m4gt_bench,gpt2,pawn,418.0512068271637,7.130984306335449,0.001956939697265625,False
m4gt_bench,gpt2,embedding,399.8181517124176,6.663809299468994,0.000484466552734375,False
m4gt_bench,gpt2,zero_shot,389.5863661766052,3.0074572563171387,0.00103759765625,False
m4gt_bench,llama2_7b,score,1689.6008698940277,0.0,0.014858245849609375,False
m4gt_bench,llama2_7b,pawn,1697.598492860794,0.0,0.00025177001953125,False
m4gt_bench,llama2_7b,embedding,1691.1482381820679,0.0,0.15265655517578125,False
m4gt_bench,llama2_7b,zero_shot,1690.606731891632,0.0,-0.24414443969726562,False
m4gt_bench,llama3_1_8b,score,1801.3778064250946,0.0,6.4849853515625e-05,False
m4gt_bench,llama3_1_8b,pawn,1844.7035946846008,0.0,0.000278472900390625,False
m4gt_bench,llama3_1_8b,embedding,1808.252771139145,0.0,0.15259170532226562,False
m4gt_bench,llama3_1_8b,zero_shot,1821.0966305732727,0.0,-0.24414443969726562,False
m4gt_bench,gpt3_proxy,score,726.6087398529053,0.0,0.00127410888671875,False
m4gt_bench,gpt3_proxy,pawn,743.6459228992462,0.0,0.00012969970703125,False
m4gt_bench,gpt3_proxy,embedding,725.052366733551,0.0,0.09537124633789062,False
m4gt_bench,gpt3_proxy,zero_shot,720.9308140277863,0.0,7.62939453125e-06,False
m4gt_bench,bert,score,93.1098701953888,5.662625789642334,0.001636505126953125,False
m4gt_bench,bert,pawn,101.81535220146179,6.2023515701293945,0.0,False
m4gt_bench,bert,embedding,92.10101747512817,5.662625789642334,0.0,False
m4gt_bench,bert,zero_shot,76.40399885177612,5.662131309509277,0.0,False
m4gt_bench,roberta,score,95.05677890777588,5.828591823577881,0.000713348388671875,False
m4gt_bench,roberta,pawn,109.81965494155884,6.796206951141357,0.0,False
m4gt_bench,roberta,embedding,92.4668288230896,5.828591823577881,0.0,False
m4gt_bench,roberta,zero_shot,81.36574625968933,5.827788352966309,0.0,False
m4gt_bench,modernbert,score,145.23813605308533,5.991232395172119,0.01535797119140625,False
m4gt_bench,modernbert,pawn,154.34671878814697,6.903528690338135,0.001007080078125,False
m4gt_bench,modernbert,embedding,135.76113867759705,5.991232395172119,0.00018310546875,False
m4gt_bench,modernbert,zero_shot,119.95011568069458,5.989012718200684,0.0,False
